ticket_id,employee_id,category,priority,status,engineer_id,created_at,assigned_at,resolved_at,resolution_notes
T0084,E036,Hardware,Critical,Resolved,IT003,2026-05-09 05:34:00,2026-05-09 07:34:00,2026-05-11 04:34:00,Laptop issue fixed
T0085,E035,Hardware,High,Resolved,IT001,2026-08-25 06:57:00,2026-08-25 08:57:00,2026-08-26 22:57:00,Hardware component replaced
T0086,E003,Software,Critical,Resolved,IT002,2026-05-23 04:31:00,2026-05-23 05:31:00,2026-05-23 12:31:00,Application issue resolved
T0087,E025,Software,Critical,Resolved,IT004,2026-01-23 00:50:00,2026-01-23 00:50:00,2026-01-24 02:50:00,Application reinstalled
T0088,E033,Software,Low,Resolved,IT004,2026-07-01 04:39:00,2026-07-01 04:39:00,2026-07-01 17:39:00,Application reinstalled
T0089,E046,Network,Critical,Open,IT003,2026-08-07 05:56:00,2026-08-07 05:56:00,,
T0090,E015,Software,Medium,Resolved,IT004,2026-01-13 05:42:00,2026-01-13 06:42:00,2026-01-14 17:42:00,Software updated
T0091,E034,Software,Medium,Resolved,IT005,2026-04-23 06:13:00,2026-04-23 09:13:00,2026-04-25 08:13:00,Software updated
T0092,E037,Hardware,Critical,In Progress,IT002,2026-03-12 00:05:00,2026-03-12 03:05:00,,
T0093,E030,Network,Medium,Resolved,IT005,2026-05-19 01:38:00,2026-05-19 02:38:00,2026-05-20 16:38:00,Network adapter restarted
T0094,E006,Software,Low,In Progress,IT001,2026-03-28 03:51:00,2026-03-28 05:51:00,,
T0095,E038,Hardware,High,Resolved,IT003,2026-04-27 04:49:00,2026-04-27 05:49:00,2026-04-27 16:49:00,Hardware component replaced
T0096,E013,Hardware,Critical,Resolved,IT003,2026-06-19 05:21:00,2026-06-19 05:21:00,2026-06-20 05:21:00,Hardware component replaced
T0097,E010,Access,Critical,Resolved,IT004,2026-08-21 03:06:00,2026-08-21 05:06:00,2026-08-23 05:06:00,Password reset
T0098,E007,Software,Critical,In Progress,IT002,2026-06-09 04:45:00,2026-06-09 04:45:00,,
T0099,E036,Software,Medium,In Progress,IT001,2026-07-27 06:21:00,2026-07-27 10:21:00,,
T0100,E015,Software,High,Open,IT003,2026-08-08 02:44:00,2026-08-08 06:44:00,,
T0101,E006,Software,Low,Resolved,IT003,2026-08-07 01:27:00,2026-08-07 03:27:00,2026-08-07 13:27:00,Outlook repaired
T0102,E028,Network,Critical,Resolved,IT002,2026-03-22 06:16:00,2026-03-22 06:16:00,2026-03-22 07:16:00,Internet connectivity restored
T0103,E030,Network,Medium,Resolved,IT002,2026-05-01 08:35:00,2026-05-01 09:35:00,2026-05-01 10:35:00,Internet connectivity restored
T0104,E002,Network,Low,Resolved,IT002,2026-07-23 07:38:00,2026-07-23 07:38:00,2026-07-24 01:38:00,Wi-Fi connection fixed
T0105,E025,Access,Low,In Progress,IT005,2026-02-05 00:31:00,2026-02-05 01:31:00,,
T0106,E005,Network,Low,Resolved,IT003,2026-01-01 08:38:00,2026-01-01 11:38:00,2026-01-03 09:38:00,Wi-Fi connection fixed
T0107,E015,Access,High,In Progress,IT003,2026-04-28 07:57:00,2026-04-28 09:57:00,,
T0108,E023,Hardware,Low,Resolved,IT001,2026-05-30 00:05:00,2026-05-30 01:05:00,2026-05-30 08:05:00,Keyboard replaced
T0109,E025,Access,Medium,Open,IT001,2026-07-24 08:33:00,2026-07-24 12:33:00,,
T0110,E049,Software,High,Open,IT004,2026-07-24 04:16:00,2026-07-24 04:16:00,,
T0111,E031,Access,Medium,Resolved,IT004,2026-06-11 07:29:00,2026-06-11 08:29:00,2026-06-13 08:29:00,Account unlocked
T0112,E026,Software,Medium,Open,IT001,2026-06-20 03:05:00,2026-06-20 06:05:00,,
T0113,E001,Hardware,High,Open,IT001,2026-08-21 07:31:00,2026-08-21 07:31:00,,
T0114,E011,Network,Low,Resolved,IT005,2026-01-27 08:39:00,2026-01-27 10:39:00,2026-01-28 08:39:00,Internet connectivity restored
T0115,E011,Software,Critical,In Progress,IT003,2026-08-14 00:34:00,2026-08-14 03:34:00,,
T0116,E022,Access,High,Open,IT001,2026-02-06 08:58:00,2026-02-06 11:58:00,,
T0117,E032,Access,Low,Resolved,IT001,2026-03-24 07:19:00,2026-03-24 08:19:00,2026-03-25 22:19:00,Account unlocked
T0118,E006,Software,Medium,In Progress,IT003,2026-05-07 03:26:00,2026-05-07 07:26:00,,
T0119,E022,Software,Low,Open,IT002,2026-03-02 06:57:00,2026-03-02 08:57:00,,
T0120,E005,Hardware,Critical,Open,IT005,2026-07-08 00:01:00,2026-07-08 04:01:00,,
T0121,E006,Access,High,Resolved,IT001,2026-05-27 03:16:00,2026-05-27 07:16:00,2026-05-28 05:16:00,Account unlocked
T0122,E026,Software,Low,Resolved,IT004,2026-08-28 02:35:00,2026-08-28 03:35:00,2026-08-30 02:35:00,Outlook repaired
T0123,E027,Access,Medium,Resolved,IT001,2026-06-15 08:54:00,2026-06-15 10:54:00,2026-06-16 21:54:00,User permission updated
T0124,E039,Network,Low,In Progress,IT003,2026-01-17 01:33:00,2026-01-17 05:33:00,,
T0125,E020,Software,Critical,Open,IT002,2026-07-03 07:58:00,2026-07-03 07:58:00,,
T0126,E036,Hardware,Medium,Resolved,IT003,2026-07-03 07:42:00,2026-07-03 09:42:00,2026-07-05 01:42:00,Hardware component replaced
T0127,E031,Network,Medium,In Progress,IT003,2026-03-10 08:26:00,2026-03-10 08:26:00,,
T0128,E012,Access,High,Resolved,IT001,2026-03-16 01:42:00,2026-03-16 04:42:00,2026-03-17 21:42:00,Account unlocked
T0129,E007,Software,Critical,Resolved,IT004,2026-01-02 07:29:00,2026-01-02 11:29:00,2026-01-03 03:29:00,Outlook repaired
T0130,E015,Access,High,Resolved,IT003,2026-07-04 02:21:00,2026-07-04 03:21:00,2026-07-05 19:21:00,User permission updated
T0131,E033,Access,Medium,In Progress,IT003,2026-03-06 02:42:00,2026-03-06 03:42:00,,
T0132,E018,Hardware,Medium,Open,IT001,2026-02-25 07:01:00,2026-02-25 10:01:00,,
T0133,E026,Access,Low,Resolved,IT003,2026-03-28 07:43:00,2026-03-28 08:43:00,2026-03-30 02:43:00,Password reset
T0134,E046,Hardware,Critical,Open,IT002,2026-03-26 01:17:00,2026-03-26 05:17:00,,
T0135,E008,Hardware,Critical,Resolved,IT004,2026-05-16 00:07:00,2026-05-16 02:07:00,2026-05-16 23:07:00,Hardware component replaced
T0136,E024,Hardware,Low,Open,IT005,2026-08-08 03:07:00,2026-08-08 06:07:00,,
T0137,E022,Network,Medium,In Progress,IT005,2026-06-29 05:26:00,2026-06-29 08:26:00,,
T0138,E028,Hardware,Low,In Progress,IT002,2026-02-06 03:03:00,2026-02-06 04:03:00,,
T0139,E037,Software,Low,In Progress,IT004,2026-01-19 01:47:00,2026-01-19 05:47:00,,
T0140,E046,Software,Low,In Progress,IT005,2026-04-19 05:57:00,2026-04-19 08:57:00,,
T0141,E025,Access,Medium,In Progress,IT002,2026-03-08 02:44:00,2026-03-08 05:44:00,,
T0142,E026,Network,Low,Resolved,IT005,2026-02-04 04:51:00,2026-02-04 05:51:00,2026-02-04 13:51:00,Network adapter restarted
T0143,E014,Hardware,Critical,Open,IT005,2026-05-18 02:54:00,2026-05-18 06:54:00,,
T0144,E001,Hardware,Low,In Progress,IT004,2026-04-28 06:25:00,2026-04-28 07:25:00,,
T0145,E021,Network,High,Resolved,IT005,2026-07-27 03:54:00,2026-07-27 07:54:00,2026-07-27 22:54:00,Internet connectivity restored
T0146,E028,Software,High,Resolved,IT004,2026-02-05 00:22:00,2026-02-05 04:22:00,2026-02-07 00:22:00,Application reinstalled
T0147,E027,Software,Low,Resolved,IT003,2026-06-28 05:30:00,2026-06-28 07:30:00,2026-06-30 01:30:00,Application issue resolved
T0148,E008,Network,High,Resolved,IT001,2026-01-13 01:57:00,2026-01-13 04:57:00,2026-01-13 11:57:00,VPN configuration fixed
T0149,E007,Network,Medium,In Progress,IT002,2026-03-27 06:16:00,2026-03-27 07:16:00,,
T0150,E039,Network,High,Resolved,IT004,2026-02-26 04:09:00,2026-02-26 05:09:00,2026-02-27 01:09:00,Wi-Fi connection fixed
T0151,E019,Hardware,Low,Open,IT005,2026-03-12 05:15:00,2026-03-12 05:15:00,,
T0152,E009,Access,Critical,Resolved,IT005,2026-02-01 01:21:00,2026-02-01 04:21:00,2026-02-01 18:21:00,Account unlocked
T0153,E034,Hardware,Medium,Resolved,IT005,2026-01-13 07:48:00,2026-01-13 10:48:00,2026-01-14 19:48:00,Monitor cable replaced
T0154,E033,Access,Critical,In Progress,IT005,2026-05-04 04:48:00,2026-05-04 07:48:00,,
T0155,E010,Access,Critical,Resolved,IT003,2026-07-01 02:14:00,2026-07-01 05:14:00,2026-07-01 16:14:00,User permission updated
T0156,E021,Network,Critical,Resolved,IT002,2026-03-11 01:05:00,2026-03-11 03:05:00,2026-03-11 12:05:00,Wi-Fi connection fixed
T0157,E008,Access,Low,In Progress,IT005,2026-07-30 06:47:00,2026-07-30 06:47:00,,
T0158,E018,Hardware,High,In Progress,IT005,2026-03-13 01:45:00,2026-03-13 04:45:00,,
T0159,E007,Hardware,Medium,Resolved,IT003,2026-03-02 02:19:00,2026-03-02 02:19:00,2026-03-04 01:19:00,Hardware component replaced
T0160,E014,Network,Low,Resolved,IT003,2026-02-09 00:32:00,2026-02-09 04:32:00,2026-02-10 17:32:00,VPN configuration fixed
T0161,E026,Access,Low,Open,IT002,2026-06-03 01:11:00,2026-06-03 04:11:00,,
T0162,E038,Network,Medium,Open,IT004,2026-04-27 00:21:00,2026-04-27 04:21:00,,
T0163,E024,Hardware,Critical,Resolved,IT003,2026-02-19 07:00:00,2026-02-19 08:00:00,2026-02-21 01:00:00,Laptop issue fixed
T0164,E030,Hardware,High,Open,IT004,2026-04-20 05:05:00,2026-04-20 05:05:00,,
T0165,E003,Hardware,Critical,Open,IT001,2026-08-25 06:12:00,2026-08-25 10:12:00,,
T0166,E032,Software,Critical,Open,IT004,2026-05-16 05:46:00,2026-05-16 05:46:00,,
T0167,E029,Hardware,Critical,Resolved,IT003,2026-04-18 04:33:00,2026-04-18 08:33:00,2026-04-18 18:33:00,Keyboard replaced
T0168,E015,Software,Critical,In Progress,IT004,2026-07-25 01:48:00,2026-07-25 01:48:00,,
T0169,E016,Software,Low,Resolved,IT003,2026-05-17 07:23:00,2026-05-17 11:23:00,2026-05-18 11:23:00,Application reinstalled
T0170,E050,Access,Medium,Resolved,IT001,2026-05-05 05:48:00,2026-05-05 07:48:00,2026-05-05 17:48:00,Password reset
T0171,E016,Access,Critical,Resolved,IT002,2026-07-26 07:14:00,2026-07-26 07:14:00,2026-07-27 12:14:00,Access restored
T0172,E024,Access,Critical,Resolved,IT004,2026-06-26 03:03:00,2026-06-26 05:03:00,2026-06-26 22:03:00,Account unlocked
T0173,E018,Access,Low,Resolved,IT005,2026-03-24 02:56:00,2026-03-24 05:56:00,2026-03-25 05:56:00,Access restored
T0174,E012,Software,High,In Progress,IT005,2026-01-06 08:14:00,2026-01-06 11:14:00,,
T0175,E041,Software,High,Open,IT005,2026-04-15 00:30:00,2026-04-15 03:30:00,,
T0176,E003,Access,Medium,Resolved,IT002,2026-05-28 05:56:00,2026-05-28 08:56:00,2026-05-29 14:56:00,Password reset
T0177,E045,Network,Medium,In Progress,IT001,2026-04-05 06:26:00,2026-04-05 10:26:00,,
T0178,E005,Software,Low,Resolved,IT004,2026-03-30 06:31:00,2026-03-30 06:31:00,2026-03-31 04:31:00,Application reinstalled
T0179,E019,Access,Medium,Open,IT002,2026-02-14 06:57:00,2026-02-14 09:57:00,,
T0180,E031,Access,Low,In Progress,IT002,2026-01-30 04:22:00,2026-01-30 07:22:00,,
T0181,E011,Network,High,Resolved,IT005,2026-04-23 01:22:00,2026-04-23 02:22:00,2026-04-24 02:22:00,Wi-Fi connection fixed
T0182,E028,Network,Critical,Resolved,IT001,2026-05-15 05:18:00,2026-05-15 09:18:00,2026-05-16 15:18:00,Wi-Fi connection fixed
T0183,E006,Hardware,Medium,Open,IT004,2026-04-23 05:03:00,2026-04-23 09:03:00,,
T0184,E013,Software,Critical,Resolved,IT002,2026-05-23 07:14:00,2026-05-23 10:14:00,2026-05-23 19:14:00,Software updated
T0185,E004,Hardware,Medium,Resolved,IT004,2026-02-15 04:31:00,2026-02-15 08:31:00,2026-02-16 12:31:00,Laptop issue fixed
T0186,E030,Network,High,Open,IT001,2026-03-08 04:09:00,2026-03-08 04:09:00,,
T0187,E037,Hardware,Low,Resolved,IT005,2026-02-11 00:00:00,2026-02-11 03:00:00,2026-02-12 13:00:00,Laptop issue fixed
T0188,E041,Access,Medium,Open,IT004,2026-07-20 04:02:00,2026-07-20 04:02:00,,
T0189,E007,Software,High,In Progress,IT001,2026-06-14 04:29:00,2026-06-14 07:29:00,,
T0190,E001,Network,High,Open,IT002,2026-05-18 07:09:00,2026-05-18 10:09:00,,
T0191,E007,Software,Low,In Progress,IT003,2026-03-03 01:47:00,2026-03-03 03:47:00,,
T0192,E013,Access,Critical,Resolved,IT002,2026-04-23 04:46:00,2026-04-23 05:46:00,2026-04-24 13:46:00,Access restored
T0193,E036,Software,Medium,Open,IT001,2026-03-18 00:08:00,2026-03-18 04:08:00,,
T0194,E016,Software,Medium,Resolved,IT003,2026-01-28 05:56:00,2026-01-28 07:56:00,2026-01-29 15:56:00,Application reinstalled
T0195,E036,Hardware,Medium,Resolved,IT003,2026-07-17 03:15:00,2026-07-17 07:15:00,2026-07-18 09:15:00,Monitor cable replaced
T0196,E050,Access,Low,Resolved,IT003,2026-02-13 02:31:00,2026-02-13 05:31:00,2026-02-13 07:31:00,Password reset
T0197,E004,Network,Medium,Resolved,IT003,2026-07-14 00:48:00,2026-07-14 00:48:00,2026-07-14 09:48:00,Internet connectivity restored
T0198,E020,Hardware,Medium,Resolved,IT003,2026-04-20 06:42:00,2026-04-20 09:42:00,2026-04-21 21:42:00,Keyboard replaced
T0199,E012,Software,Low,In Progress,IT005,2026-05-19 06:48:00,2026-05-19 10:48:00,,
T0200,E023,Access,Low,Resolved,IT002,2026-01-02 02:48:00,2026-01-02 05:48:00,2026-01-03 06:48:00,User permission updated
T0201,E032,Network,High,In Progress,IT003,2026-04-24 08:02:00,2026-04-24 11:02:00,,
T0202,E024,Network,High,Resolved,IT001,2026-06-05 02:31:00,2026-06-05 04:31:00,2026-06-06 21:31:00,Network adapter restarted
T0203,E033,Access,High,Resolved,IT003,2026-05-19 02:53:00,2026-05-19 05:53:00,2026-05-19 23:53:00,User permission updated
T0204,E025,Access,High,Resolved,IT003,2026-02-11 06:14:00,2026-02-11 07:14:00,2026-02-11 11:14:00,Account unlocked
T0205,E031,Network,Medium,In Progress,IT002,2026-01-15 07:00:00,2026-01-15 07:00:00,,
T0206,E042,Hardware,Medium,In Progress,IT004,2026-04-26 04:11:00,2026-04-26 07:11:00,,
T0207,E033,Software,High,In Progress,IT001,2026-05-08 08:23:00,2026-05-08 10:23:00,,
T0208,E014,Hardware,Low,Open,IT004,2026-02-14 08:18:00,2026-02-14 08:18:00,,
T0209,E004,Network,High,In Progress,IT005,2026-02-23 07:24:00,2026-02-23 07:24:00,,
T0210,E030,Software,High,Resolved,IT003,2026-06-23 03:09:00,2026-06-23 06:09:00,2026-06-25 00:09:00,Application reinstalled
T0211,E028,Hardware,High,In Progress,IT005,2026-02-02 06:55:00,2026-02-02 09:55:00,,
T0212,E027,Network,Critical,Open,IT001,2026-03-17 01:12:00,2026-03-17 02:12:00,,
T0213,E002,Software,Medium,Open,IT002,2026-04-26 04:15:00,2026-04-26 08:15:00,,
T0214,E050,Network,Medium,In Progress,IT002,2026-04-23 07:47:00,2026-04-23 08:47:00,,
T0215,E012,Network,High,In Progress,IT005,2026-07-24 05:41:00,2026-07-24 08:41:00,,
T0216,E019,Software,Medium,Resolved,IT003,2026-02-19 03:57:00,2026-02-19 03:57:00,2026-02-19 16:57:00,Application issue resolved
T0217,E035,Network,Critical,Resolved,IT001,2026-05-08 02:12:00,2026-05-08 02:12:00,2026-05-08 21:12:00,Network adapter restarted
T0218,E007,Access,Medium,Resolved,IT005,2026-07-02 06:07:00,2026-07-02 09:07:00,2026-07-03 16:07:00,User permission updated
T0219,E024,Network,Medium,Resolved,IT004,2026-04-29 04:11:00,2026-04-29 06:11:00,2026-05-01 06:11:00,Internet connectivity restored
T0220,E016,Network,Low,Resolved,IT005,2026-02-09 07:15:00,2026-02-09 07:15:00,2026-02-09 18:15:00,Network adapter restarted
T0221,E008,Network,Medium,In Progress,IT002,2026-06-04 07:27:00,2026-06-04 11:27:00,,
T0222,E029,Network,Low,Resolved,IT002,2026-04-06 00:45:00,2026-04-06 01:45:00,2026-04-07 09:45:00,Internet connectivity restored
T0223,E034,Network,Low,Open,IT005,2026-05-26 01:27:00,2026-05-26 01:27:00,,
T0224,E018,Hardware,Medium,Open,IT001,2026-08-16 00:12:00,2026-08-16 02:12:00,,
T0225,E048,Network,Critical,In Progress,IT004,2026-03-25 05:42:00,2026-03-25 05:42:00,,
T0226,E035,Network,High,Resolved,IT001,2026-03-26 04:49:00,2026-03-26 08:49:00,2026-03-27 17:49:00,Wi-Fi connection fixed
